Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
1.93,9.88,8.13,0.17,0.72,14.4,277,5734,705,8.03,0.52,0.93,4.55,blackgram
2.2,17.73,8.2,0.2,0.69,14.57,340,3921,1390,10.34,1.33,1.72,3.01,blackgram
0.84,5.09,8.4,0.12,0.37,4.97,92,7159,464,3.43,0.31,0.6,1.5,blackgram
1.07,4.85,8.32,0.1,0.34,3.25,99,6021,700,6.11,0.55,0.47,1.47,blackgram
1.84,5.46,8.72,0.14,0.35,9.46,157,4963,615,5.18,0.4,0.95,9.49,blackgram
1.31,8.28,9.11,0.51,0.27,5.29,201,4524,828,80.3,0.2,1.14,8.3,blackgram
1.92,5.49,8.5,0.14,0.55,14.2,179,5490,699,7.01,0.5,1.3,9.66,blackgram
1.36,8.61,8.82,0.19,0.71,11.32,163,5172,756,6.78,0.74,1.65,3.05,blackgram
4.5,14.76,8.35,0.4,0.27,10.24,502,3039,429,31.48,3.03,0.92,2.1,blackgram
1.83,4.75,8.34,0.19,0.58,15.53,197,4522,893,8.34,0.42,1.13,9.38,blackgram
1.01,8.09,8.38,0.12,1.04,5.51,144,7178,823,3.48,0.87,0.65,4.01,blackgram
1.88,5.64,8.83,0.18,0.46,9.91,184,3908,567,6.34,0.54,1.14,8.14,blackgram
2.09,7.16,8.38,0.34,0.53,9.0,219,4841,1287,19.03,1.74,1.3,2.34,blackgram
1.07,15.96,8.2,0.15,0.39,5.77,259,7130,622,4.18,0.24,0.53,4.74,blackgram
1.0,10.42,8.4,0.14,0.53,2.69,156,7141,1118,3.06,0.3,1.12,5.42,blackgram
0.89,9.7,7.8,0.1,0.34,11.41,103,6077,685,3.59,0.41,0.61,4.74,blackgram
0.97,8.21,8.27,0.15,0.38,3.81,225,4364,439,5.62,1.06,1.28,3.45,blackgram
0.88,10.32,7.95,0.09,0.23,10.58,95,5562,508,2.79,0.34,0.63,5.33,blackgram
0.98,7.1,8.55,0.13,0.13,7.5,81,5764,821,1.88,0.69,0.57,5.24,blackgram
0.83,10.72,8.09,0.1,0.29,9.12,89,5533,632,2.29,0.31,0.59,5.54,blackgram
0.8,7.61,8.2,0.1,0.24,4.8,99,6116,686,2.66,0.22,0.51,5.04,blackgram
0.69,4.83,8.4,0.11,0.35,4.44,121,4646,527,3.72,0.55,0.57,2.82,blackgram
