Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
1.62,17.81,7.56,5.45,0.58,62.0,368,9748,812,145.61,1.11,1.14,3.6,cotton
2.57,26.61,7.7,2.94,0.55,37.3,258,9480,687,83.65,2.48,1.46,6.98,cotton
4.21,17.96,8.2,0.36,0.67,33.6,455,6756,490,16.4,3.28,1.47,5.24,cotton
10.64,23.96,7.64,2.9,0.73,48.6,319,8498,743,140.81,4.9,2.3,4.28,cotton
2.98,20.59,7.64,2.9,0.66,44.2,367,6835,564,188.65,5.78,2.47,4.16,cotton
1.79,4.86,8.13,0.32,0.5,15.5,288,7641,1031,22.72,1.27,1.53,3.46,cotton
2.08,5.55,8.28,0.39,0.47,8.8,178,7545,773,34.71,1.03,3.57,4.2,cotton
1.57,6.01,7.8,0.83,0.53,11.3,241,7529,1096,30.72,1.62,1.42,4.21,cotton
1.77,11.07,8.1,0.53,0.54,33.2,138,3484,802,36.03,1.95,0.99,5.23,cotton
1.31,5.34,8.07,0.33,0.42,8.7,227,7176,913,18.45,0.33,1.02,5.35,cotton
5.54,8.63,8.07,1.57,0.65,31.1,209,7238,1102,586.61,3.83,4.51,9.17,cotton
1.51,7.6,8.25,0.46,0.44,11.2,308,7737,977,30.99,1.67,1.7,4.01,cotton
1.25,8.08,8.45,0.44,0.47,11.2,324,6347,1031,29.11,0.61,1.93,4.24,cotton
1.11,4.57,8.1,0.35,0.43,7.0,253,7170,762,11.01,0.73,1.07,4.94,cotton
1.18,3.96,8.28,0.23,0.36,5.1,173,7540,918,12.68,1.33,1.0,5.33,cotton
1.33,4.4,8.0,1.26,0.45,11.9,216,7070,1011,103.74,0.84,1.37,5.4,cotton
1.32,5.49,8.15,1.17,0.5,21.8,214,6556,1256,85.87,1.17,2.39,6.72,cotton
1.37,4.94,8.17,0.42,0.54,13.2,455,7063,1005,33.95,0.53,1.5,5.56,cotton
1.44,5.38,8.2,0.25,0.4,7.7,211,6458,816,14.86,0.31,1.15,5.98,cotton
1.34,7.56,8.0,0.41,0.42,15.2,337,6525,871,23.92,6.03,1.53,6.12,cotton
1.33,3.72,8.42,0.2,0.44,10.1,243,4942,394,12.8,0.33,0.95,1.77,cotton
0.96,2.29,8.42,0.2,0.35,7.1,232,6423,646,11.2,0.29,0.91,1.74,cotton
1.01,3.9,8.38,0.2,0.33,3.8,216,7396,909,10.29,0.33,1.16,3.18,cotton
0.89,3.94,8.86,0.29,0.3,3.8,191,5736,473,6.7,0.32,1.0,4.04,cotton
1.87,14.48,8.11,0.65,0.58,22.0,248,5780,537,28.97,0.76,1.28,2.45,cotton
1.93,5.91,8.28,0.29,0.49,17.0,232,4483,397,22.17,0.94,0.96,3.98,cotton
1.95,13.28,9.13,1.21,0.27,5.47,242,2748,660,82.19,0.44,4.21,11.56,cotton
1.49,13.4,8.86,0.38,0.46,12.12,353,3048,908,15.89,0.45,2.57,11.58,cotton
2.47,8.27,8.75,0.39,0.72,21.41,194,3596,651,19.2,0.58,1.88,27.66,cotton
1.75,12.32,9.18,1.08,0.25,6.06,238,2823,678,86.49,0.38,4.56,10.54,cotton
1.49,13.09,8.91,0.4,0.46,11.24,340,3052,906,14.79,0.48,2.36,12.82,cotton
1.51,12.12,8.95,0.45,0.4,8.24,319,3290,952,15.71,0.48,2.48,12.18,cotton
