Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
2.44,14.48,7.9,0.26,0.45,52.13,124,2464,612,27.42,1.54,1.45,48.14,maize
1.6,12.82,8.02,2.65,0.35,17.04,438,4378,1463,55.38,0.36,2.27,11.7,maize
3.12,36.7,7.1,0.45,0.6,58.28,421,784,255,40.55,3.78,1.32,13.18,maize
1.1,48.86,6.64,0.12,0.26,13.81,76,386,92,9.76,1.08,0.35,14.92,maize
2.1,12.78,8.33,0.3,0.45,7.86,262,1083,665,14.66,1.9,2.58,11.36,maize
1.72,17.88,8.01,0.23,0.74,22.16,182,1084,518,10.49,4.18,1.94,8.68,maize
0.94,13.9,7.57,0.33,0.29,14.39,223,738,194,8.77,1.34,0.88,4.82,maize
3.88,14.62,8.15,0.72,0.74,15.56,258,1081,712,53.07,2.68,3.29,28.12,maize
2.5,12.02,8.13,0.22,0.62,21.68,243,1049,524,12.67,1.58,1.7,12.16,maize
2.08,16.26,8.1,0.18,0.57,13.41,251,1045,648,12.54,1.38,1.97,11.36,maize
0.66,115.82,5.4,0.1,0.66,3.59,82,238,74,11.15,0.8,0.52,13.7,maize
1.54,42.7,6.86,0.15,0.34,21.52,221,769,218,10.95,1.24,0.82,13.04,maize
2.5,12.68,7.81,0.27,0.53,7.61,187,904,441,13.05,2.64,1.7,14.86,maize
3.38,16.94,8.05,0.64,0.76,13.85,304,1046,513,66.29,1.76,2.44,33.44,maize
2.5,17.66,8.3,0.2,0.68,36.04,197,1025,456,9.36,1.06,2.23,33.02,maize
3.84,12.4,8.21,0.43,0.92,14.68,186,909,601,36.31,2.42,2.13,25.6,maize
1.46,15.1,8.3,0.24,0.59,5.54,184,2203,635,11.3,0.5,1.49,4.38,maize
0.8,11.12,8.45,0.4,0.46,11.08,353,1084,480,27.17,0.76,1.36,3.14,maize
1.16,11.14,8.51,0.28,0.53,11.05,348,1002,658,12.63,0.74,1.9,2.58,maize
1.04,12.96,7.98,0.28,0.38,11.0,290,1080,281,7.94,0.64,0.86,2.76,maize
0.86,13.4,8.06,0.37,0.44,23.29,179,846,366,15.47,1.02,1.88,4.52,maize
1.2,14.1,8.1,0.09,0.21,6.41,56,806,269,2.99,0.52,0.99,4.5,maize
0.9,22.26,7.91,0.16,0.21,5.35,33,740,260,6.53,0.28,1.07,6.06,maize
0.72,39.22,6.98,0.24,0.3,6.5,36,463,141,8.04,0.58,0.79,7.56,maize
1.2,14.42,8.3,0.21,0.38,15.7,86,895,391,11.87,1.8,2.2,3.94,maize
1.2,16.92,8.25,0.42,0.13,4.34,56,957,399,21.59,0.34,1.8,3.36,maize
1.36,18.8,8.0,0.23,0.52,9.93,290,1084,466,11.47,0.6,1.19,6.64,maize
1.0,17.4,8.22,0.43,0.55,7.62,255,965,575,22.87,0.6,1.94,3.98,maize
1.54,8.14,8.56,0.36,0.52,13.22,161,966,821,16.99,0.48,2.56,16.16,maize
1.6,8.84,8.57,0.31,0.53,12.9,161,978,847,15.36,0.54,2.53,17.18,maize
1.18,26.1,7.88,0.5,0.52,13.06,286,1075,361,19.09,0.68,1.08,5.0,maize
1.58,9.92,8.25,0.45,0.52,16.03,263,888,568,25.39,1.52,1.98,7.92,maize
0.86,23.12,8.16,0.22,0.39,11.44,193,824,245,14.42,0.72,0.87,4.46,maize
1.3,17.64,7.64,0.26,0.4,29.65,183,834,246,10.82,1.94,1.15,6.34,maize
0.38,12.58,7.5,0.15,0.23,5.75,67,369,84,6.73,0.5,0.38,5.22,maize
0.74,13.18,7.56,0.28,0.38,24.72,117,628,162,9.35,1.44,0.84,5.62,maize
1.02,11.42,8.1,0.2,0.36,26.73,121,847,259,7.74,2.54,0.98,5.28,maize
0.66,12.8,8.32,0.12,0.11,8.5,55,495,124,6.22,0.94,0.76,4.96,maize
1.18,13.0,7.6,0.19,0.38,19.17,102,692,225,8.03,1.16,0.94,14.28,maize
1.82,28.24,6.6,0.44,0.42,41.06,201,693,160,21.67,3.54,0.62,13.78,maize
1.76,33.22,6.57,0.34,0.44,40.19,217,721,163,20.88,3.7,0.64,14.22,maize
1.18,14.88,8.2,0.26,0.37,26.4,177,847,350,10.66,1.88,1.32,7.12,maize
1.18,13.84,7.73,0.31,0.41,27.8,201,804,426,23.81,1.96,1.42,5.58,maize
1.08,13.46,7.98,0.34,0.44,13.77,281,923,558,12.12,1.42,1.55,4.3,maize
1.6,9.44,8.56,0.25,0.5,11.11,143,970,833,13.34,0.5,2.39,18.76,maize
0.86,17.54,8.38,0.17,0.26,8.93,62,704,303,7.36,0.52,0.84,5.64,maize
0.62,11.4,8.12,0.13,0.15,2.67,25,628,287,7.08,0.24,0.72,5.08,maize
2.38,67.1,6.61,0.18,1.07,40.23,162,1579,140,6.96,3.94,0.97,27.38,maize
0.55,23.32,4.81,0.03,0.21,2.12,35,217,43,1.15,0.26,0.23,26.29,maize
1.24,31.75,5.9,0.04,0.26,1.52,77,989,180,3.11,0.27,0.37,21.06,maize
0.53,47.86,5.46,0.03,0.03,2.58,193,299,109,1.23,0.29,0.27,25.05,maize
0.46,32.69,5.99,0.05,0.26,6.5,94,426,74,4.35,1.36,0.33,17.52,maize
1.28,58.04,6.11,0.22,0.81,14.77,385,727,123,13.73,2.35,0.87,44.9,maize
1.57,57.13,5.32,0.08,0.41,13.01,127,493,89,5.47,0.63,0.29,91.42,maize
0.6,26.02,5.35,0.05,0.29,2.24,105,438,85,1.39,0.44,0.24,21.86,maize
0.88,54.73,5.1,0.1,0.26,2.53,209,389,110,4.44,0.47,0.3,21.46,maize
1.28,82.88,5.0,0.05,0.3,5.14,231,494,120,1.55,0.53,0.52,49.43,maize
1.16,53.98,4.9,0.11,0.43,10.07,116,348,68,4.88,0.9,0.18,73.72,maize
1.08,23.92,7.9,0.32,0.3,12.62,144,806,262,13.53,0.86,0.82,5.24,maize
1.52,33.28,7.56,1.01,0.37,29.78,181,1228,429,41.12,0.96,1.33,8.44,maize
0.96,15.58,8.44,0.29,0.25,10.12,127,1216,266,9.92,0.66,0.94,5.94,maize
2.32,64.86,7.25,3.4,0.55,34.62,512,1497,578,76.3,3.22,1.5,12.48,maize
1.28,49.62,6.6,0.14,0.28,5.26,88,597,125,7.86,0.82,0.35,18.68,maize
3.14,24.5,7.82,0.35,0.61,28.74,260,1266,393,16.32,0.72,1.89,26.4,maize
1.6,27.44,8.02,0.43,0.47,12.83,139,1013,332,19.12,0.44,1.7,10.8,maize
2.18,40.18,7.95,0.29,0.35,8.59,122,1152,340,12.66,0.34,1.96,23.4,maize
1.38,54.26,7.3,2.65,0.47,29.08,243,1505,579,63.14,2.26,1.34,7.84,maize
1.34,32.66,7.6,1.12,0.2,6.35,76,645,222,34.64,0.5,1.06,12.76,maize
1.26,28.5,7.85,1.51,0.58,85.24,299,990,407,46.26,7.32,1.58,7.62,maize
1.98,27.62,7.6,1.65,0.43,23.37,206,884,385,52.59,1.02,1.33,21.42,maize
1.34,32.6,8.2,0.31,0.4,52.79,103,1014,288,16.51,5.72,1.09,10.32,maize
2.02,41.28,7.7,0.55,0.5,12.77,161,1206,527,17.79,1.52,1.38,15.16,maize
1.82,32.92,8.05,0.38,0.39,34.44,135,1333,309,17.22,0.92,0.86,25.56,maize
1.9,29.74,8.36,0.48,0.53,38.16,232,999,242,19.98,6.0,1.28,8.08,maize
1.0,74.0,6.8,0.15,0.45,4.89,118,953,295,9.18,0.68,0.7,15.12,maize
4.08,27.76,7.75,0.36,0.81,9.72,175,1375,702,29.97,1.58,2.42,77.66,maize
1.16,18.72,8.58,0.41,0.46,7.14,77,1526,619,14.55,0.62,2.29,7.6,maize
2.86,31.12,7.61,8.5,1.16,31.19,230,2345,1308,328.67,3.58,2.35,37.8,maize
2.42,60.2,7.52,0.49,0.45,8.16,125,966,403,23.62,0.58,1.15,25.66,maize
2.5,55.12,6.9,0.17,0.37,24.02,90,590,261,15.9,0.94,0.9,46.2,maize
0.98,23.72,7.5,0.19,0.22,20.99,66,362,140,12.09,0.68,0.55,10.96,maize
2.62,8.82,7.85,0.68,0.68,21.7,208,2235,654,32.88,0.58,2.6,18.8,maize
1.68,14.74,8.05,0.34,0.56,14.26,119,1463,674,22.55,0.76,2.38,11.32,maize
1.46,10.04,8.03,0.32,0.46,15.14,166,1353,414,14.9,0.34,1.73,8.58,maize
1.4,65.78,5.8,0.06,0.27,2.49,84,533,123,4.79,0.42,0.5,30.06,maize
2.18,10.56,7.75,0.6,0.63,11.59,238,1820,574,19.72,0.4,2.28,11.14,maize
2.36,11.86,8.0,0.24,0.62,14.67,191,1794,582,18.47,0.32,2.63,10.92,maize
2.64,12.2,7.98,0.81,0.69,27.07,408,1759,616,57.85,0.44,2.83,13.32,maize
2.18,9.32,8.01,0.39,0.64,13.93,209,1790,550,17.03,0.36,2.1,11.56,maize
1.84,9.96,7.91,0.36,0.54,15.87,196,1520,503,17.88,0.32,2.14,9.94,maize
2.36,7.62,8.3,0.46,0.63,17.06,199,2137,801,31.06,0.3,2.87,12.04,maize
1.52,6.6,8.4,0.24,0.46,9.79,107,1734,503,16.85,0.56,1.74,12.42,maize
2.48,11.06,8.1,0.29,0.71,16.1,208,1831,636,19.37,0.42,2.86,12.32,maize
1.76,9.46,7.56,1.15,0.5,16.66,93,859,445,23.76,0.32,2.66,18.9,maize
1.74,43.06,7.6,0.35,0.68,22.5,385,1443,367,16.28,1.76,1.06,8.82,maize
0.7,35.84,7.95,0.16,0.32,4.82,127,805,378,10.87,0.76,0.99,5.72,maize
1.26,33.22,7.61,0.5,0.58,36.71,122,917,484,19.29,1.56,2.11,8.44,maize
1.7,16.02,7.98,0.4,0.75,31.37,141,1453,567,13.68,2.66,2.4,14.46,maize
2.7,10.82,8.3,0.62,0.63,17.6,204,2143,803,29.68,0.4,2.87,13.96,maize
2.48,11.14,8.33,1.31,0.33,3.37,168,1992,662,43.32,0.16,2.61,11.62,maize
1.02,52.66,6.95,0.72,0.24,27.9,143,611,155,54.95,1.02,0.5,9.58,maize
1.38,32.54,8.0,0.64,0.44,27.19,192,890,438,21.7,2.5,1.17,7.0,maize
3.0,26.36,8.1,0.58,0.73,23.51,146,1822,424,35.56,1.24,1.71,31.14,maize
3.74,16.7,8.13,0.53,0.62,10.72,205,2008,578,33.7,0.56,1.57,27.42,maize
2.86,17.14,7.72,2.75,0.63,13.01,221,1948,501,98.82,0.84,1.5,29.94,maize
1.0,34.3,8.16,0.2,0.3,8.73,93,629,161,4.9,0.82,0.53,6.54,maize
5.54,40.18,7.7,0.81,1.31,26.39,338,2420,803,45.61,1.36,2.46,66.7,maize
3.22,36.86,6.67,0.77,0.56,51.35,133,2097,698,29.81,0.52,1.79,82.5,maize
2.92,15.94,8.12,0.58,0.81,19.92,123,1202,722,26.25,0.72,2.19,29.98,maize
2.88,14.14,7.78,0.35,0.56,51.47,166,2276,752,19.71,0.46,1.81,50.4,maize
2.42,123.64,6.98,0.21,0.41,15.1,131,1087,386,14.55,0.68,0.86,25.7,maize
0.94,37.72,7.66,1.3,0.35,10.16,156,829,448,38.11,0.94,0.86,6.52,maize
1.06,39.86,7.22,0.86,0.36,6.67,147,628,280,29.81,0.72,0.62,9.28,maize
0.82,77.82,6.17,0.11,0.2,2.52,108,336,120,8.0,0.56,0.31,9.46,maize
2.96,15.64,8.2,0.78,0.48,14.62,117,2039,759,43.66,0.64,1.77,15.48,maize
4.44,30.64,7.45,0.54,0.66,25.51,147,1419,503,47.97,1.02,2.06,62.18,maize
1.68,91.06,7.58,0.72,0.4,10.38,142,1559,411,26.59,0.58,0.97,16.3,maize
0.74,18.76,8.43,0.43,0.52,11.43,271,1990,357,17.92,0.5,2.02,3.82,maize
2.34,20.64,7.35,0.55,0.49,29.41,205,1228,540,34.02,0.68,3.06,35.44,maize
1.04,11.82,8.31,0.18,0.45,9.4,100,2087,286,8.81,0.54,1.31,5.18,maize
1.4,8.26,8.47,0.2,0.32,6.25,214,2310,526,6.36,0.52,1.66,2.72,maize
1.8,12.88,8.32,0.2,0.61,27.81,59,1657,391,10.13,0.98,1.67,29.88,maize
2.96,16.12,8.46,0.24,0.36,4.76,88,2117,692,10.84,0.34,2.05,24.54,maize
0.74,25.24,7.08,0.13,0.3,23.82,95,692,150,4.71,0.76,0.42,12.32,maize
0.98,30.82,6.77,0.16,0.33,11.53,61,778,148,6.08,0.72,0.63,12.88,maize
0.84,14.92,7.81,0.13,0.48,18.2,205,1049,210,5.15,1.64,0.68,5.72,maize
0.94,18.84,7.52,0.12,0.31,9.94,95,774,146,5.18,0.98,0.43,10.02,maize
1.0,33.4,6.62,0.19,0.24,8.81,87,614,115,12.65,0.94,0.33,11.66,maize
2.82,55.28,6.3,0.26,0.77,14.85,183,1519,332,8.14,0.64,1.27,37.14,maize
1.26,23.16,7.85,0.15,0.47,22.17,214,1044,186,8.7,1.48,0.82,8.14,maize
1.86,97.66,5.85,0.21,0.3,19.13,97,851,215,8.04,1.1,0.54,40.6,maize
1.68,21.52,7.7,0.24,0.6,28.78,339,1376,281,8.49,1.94,0.85,13.24,maize
0.66,41.9,6.51,0.2,0.33,8.15,237,404,94,9.8,0.96,0.31,14.22,maize
0.78,64.2,5.5,0.11,0.24,4.07,118,369,98,7.03,0.56,0.26,20.82,maize
0.76,35.92,6.15,0.1,0.27,3.45,106,447,79,6.52,0.64,0.33,13.56,maize
1.42,26.2,7.22,0.13,0.45,5.23,162,1318,347,5.17,0.7,0.74,12.04,maize
2.22,22.58,7.75,0.25,0.53,13.34,133,1409,383,12.51,0.88,1.25,18.1,maize
1.42,54.1,6.66,0.21,0.27,12.26,158,836,220,12.98,0.8,0.66,24.88,maize
1.28,16.66,7.96,0.21,0.7,22.09,252,1581,372,9.14,2.0,1.32,7.64,maize
1.04,45.6,7.25,0.16,0.31,12.66,130,627,217,10.04,1.3,0.5,10.2,maize
0.46,14.68,8.66,0.14,0.14,6.92,46,430,154,4.91,0.36,0.58,6.14,maize
2.5,24.46,7.26,0.91,0.6,32.35,192,1323,493,43.14,0.98,1.66,30.88,maize
2.8,23.38,8.1,0.96,0.62,15.49,232,1881,730,60.25,0.44,2.82,33.56,maize
1.44,43.44,7.64,0.3,0.44,30.33,255,842,303,15.2,1.16,1.14,7.84,maize
3.24,25.82,7.81,1.12,0.63,23.83,185,1759,576,38.83,0.62,1.55,41.66,maize
1.76,34.12,8.38,0.22,0.44,29.17,91,1201,459,7.22,1.24,1.42,17.7,maize
1.42,19.4,7.92,0.16,0.29,16.13,106,1134,375,5.06,1.88,1.08,8.52,maize
1.04,31.84,7.95,0.09,0.15,5.16,65,517,158,2.78,0.74,0.5,8.24,maize
1.24,25.4,8.4,0.27,0.45,11.43,73,1475,465,8.08,0.34,2.46,19.12,maize
1.6,32.7,7.88,0.14,0.25,6.16,57,977,343,5.28,0.38,1.0,15.3,maize
1.2,15.72,7.8,0.27,0.46,21.66,221,962,207,8.26,2.08,1.02,7.12,maize
1.18,11.08,8.0,0.15,0.51,14.94,149,1704,464,7.32,0.52,2.07,6.86,maize
1.58,12.7,8.58,0.2,0.63,4.28,194,2007,580,7.64,0.6,2.7,10.38,maize
1.22,23.28,7.54,0.29,0.47,36.7,141,782,169,13.17,3.98,0.77,8.44,maize
1.02,26.94,7.88,0.18,0.41,18.07,155,863,222,7.35,2.18,0.84,8.82,maize
0.7,14.52,7.75,0.2,0.43,16.92,124,894,223,10.74,0.96,1.51,5.78,maize
0.9,34.86,7.2,0.57,0.37,5.9,535,458,129,29.03,0.88,0.91,14.84,maize
0.72,6.38,8.22,0.22,0.26,3.66,79,977,221,10.47,0.3,1.04,8.7,maize
2.62,10.56,8.42,0.27,0.58,5.59,86,2489,814,17.12,0.46,2.25,13.22,maize
1.42,18.82,7.57,0.2,0.5,18.15,106,1194,363,8.03,1.16,1.12,8.42,maize
2.5,12.8,8.35,0.17,0.66,12.83,130,2141,776,13.58,1.06,2.29,13.48,maize
0.96,24.84,8.14,0.53,0.46,19.88,270,1096,276,34.25,1.0,1.28,8.26,maize
1.32,42.54,8.0,0.59,0.81,23.78,726,1938,340,24.15,2.0,2.1,8.74,maize
1.34,36.48,7.27,0.2,0.31,24.08,142,631,143,8.44,2.2,0.56,14.4,maize
0.9,26.44,8.13,0.19,0.29,4.56,109,958,165,8.58,0.36,0.91,5.92,maize
2.88,33.64,7.55,0.41,0.59,24.44,116,1544,444,48.9,5.48,1.99,49.42,maize
1.08,15.18,8.25,0.78,0.22,14.57,132,830,317,24.35,1.78,1.25,4.24,maize
4.42,23.78,8.26,0.68,0.98,19.37,348,3078,688,41.55,0.98,2.48,39.16,maize
3.2,92.0,6.33,0.35,0.53,47.13,161,932,269,45.26,1.42,2.08,69.3,maize
1.48,52.5,7.55,0.54,0.36,76.97,660,970,307,25.07,4.9,1.08,9.56,maize
0.72,27.0,7.27,0.12,0.19,12.18,106,580,128,5.03,0.86,0.25,6.3,maize
1.88,21.86,8.31,0.33,0.59,24.21,191,1323,445,19.12,1.18,1.98,13.22,maize
0.38,17.16,8.36,0.2,0.24,33.77,58,651,154,6.98,0.68,1.06,3.44,maize
1.06,19.66,8.1,0.28,0.41,35.53,193,1493,281,11.47,1.9,1.11,3.8,maize
1.18,31.82,7.87,0.23,0.35,13.55,186,1072,455,11.61,0.88,1.11,6.08,maize
1.44,150.92,5.6,0.08,0.46,2.95,70,366,132,10.54,0.92,0.49,15.66,maize
2.82,9.22,8.5,0.46,0.59,8.72,202,2676,772,28.03,0.52,2.85,18.8,maize
2.44,30.78,7.76,0.42,0.66,29.85,243,1976,579,19.26,3.88,2.09,6.46,maize
2.84,8.46,7.31,0.36,0.6,39.64,163,1753,397,27.98,1.28,1.68,50.42,maize
2.82,5.3,7.78,0.93,0.87,53.98,358,2668,595,121.53,1.38,2.29,45.1,maize
1.52,14.2,8.0,0.33,0.49,2.65,145,3268,640,14.73,0.36,1.02,9.3,maize
1.34,7.78,8.3,0.65,0.54,6.24,74,2950,864,35.53,0.58,2.6,4.84,maize
0.94,10.68,8.28,0.28,0.27,4.85,215,2721,298,14.28,0.46,0.69,3.18,maize
0.7,5.52,8.32,0.36,0.31,7.68,84,2488,569,21.71,0.36,1.87,2.18,maize
0.86,35.2,7.41,0.11,0.37,15.62,160,904,237,7.72,0.78,0.77,8.3,maize
0.94,56.3,5.7,0.11,0.37,3.99,130,1048,223,14.42,0.36,0.58,31.1,maize
1.68,12.78,8.31,0.28,0.61,70.23,183,1723,734,11.41,1.18,2.61,16.7,maize
1.08,44.16,7.81,0.24,0.3,17.9,125,839,263,12.53,0.76,1.1,6.56,maize
1.08,20.14,8.31,0.3,0.56,35.41,112,1364,405,11.06,1.0,1.81,11.34,maize
1.98,11.24,8.35,0.37,0.55,38.49,211,1769,765,15.05,0.88,2.01,18.86,maize
2.32,13.78,8.45,0.3,0.67,55.66,141,1787,613,13.87,1.44,3.06,19.32,maize
2.56,22.64,8.15,0.31,0.6,17.36,123,1761,672,11.78,0.44,2.6,19.48,maize
1.0,11.34,7.9,0.4,0.56,20.62,135,1533,477,14.29,1.38,1.87,3.88,maize
2.7,25.8,7.65,0.38,0.54,10.89,121,1302,498,28.35,0.66,1.92,28.22,maize
1.98,20.8,7.91,0.61,0.38,24.62,125,1348,492,36.69,0.64,1.93,17.14,maize
1.26,25.48,8.07,0.26,0.47,11.79,122,1306,322,15.98,0.82,1.32,5.74,maize
1.26,30.9,7.2,0.46,0.4,13.59,177,973,202,13.36,1.06,0.57,6.94,maize
1.02,22.22,7.41,0.39,0.46,6.24,110,1272,371,45.75,0.98,1.08,6.22,maize
1.94,39.48,6.88,0.11,0.47,21.03,72,1119,290,8.47,0.28,1.04,35.26,maize
1.38,14.78,7.8,0.25,0.47,23.16,130,1297,369,10.46,0.76,1.46,5.88,maize
1.2,14.8,7.42,0.12,0.44,7.7,79,986,361,8.33,0.44,1.4,28.92,maize
1.02,35.54,6.88,0.24,0.35,11.67,160,754,231,12.36,0.62,0.75,12.62,maize
2.62,12.98,7.48,0.15,0.49,5.77,68,1345,501,11.95,0.42,1.61,36.98,maize
3.16,5.08,8.05,0.44,0.53,3.3,79,3258,376,76.8,0.4,1.75,28.46,maize
0.88,42.98,7.2,0.27,0.27,5.27,149,1020,320,13.59,0.58,0.88,8.34,maize
2.06,9.94,7.71,0.15,0.45,5.26,68,1020,334,9.15,0.78,1.93,26.12,maize
4.42,60.02,6.46,0.17,0.74,16.32,141,1276,410,27.81,1.1,2.07,114.62,maize
1.1,14.24,7.8,0.18,0.38,14.55,67,1087,432,8.23,0.32,1.77,9.3,maize
1.32,23.24,7.68,0.13,0.43,27.81,98,1190,353,6.0,0.78,1.14,10.34,maize
1.66,25.38,7.91,0.29,0.39,10.63,131,1429,614,14.92,0.3,1.85,13.14,maize
1.24,12.54,7.72,0.08,0.09,1.62,59,1206,255,4.78,0.24,1.35,11.36,maize
0.58,7.26,8.2,0.18,0.46,5.96,166,987,277,6.98,0.3,1.13,2.84,maize
1.62,7.94,8.45,0.19,0.47,14.66,223,2160,496,9.87,1.84,1.93,8.88,maize
2.04,10.12,7.85,0.21,0.39,45.66,140,1568,509,8.05,0.9,1.92,16.8,maize
3.42,10.92,8.44,0.24,0.52,5.86,98,2557,645,18.15,0.44,1.92,32.52,maize
1.82,13.6,7.81,0.38,0.63,23.69,116,1840,626,18.62,1.16,1.99,8.82,maize
