Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
1.77,7.99,8.01,0.58,0.55,37.0,301,4118,769,16.5,1.31,0.95,3.41,paddy
6.53,7.15,7.7,0.68,0.5,24.3,159,7010,1779,90.01,1.21,1.66,22.26,paddy
7.04,6.61,7.93,0.63,0.52,31.9,179,6684,1631,71.01,2.9,1.48,20.73,paddy
6.33,7.28,8.01,0.58,0.51,18.8,153,6204,1648,73.49,1.46,1.44,15.57,paddy
9.66,13.91,7.48,1.22,0.73,48.7,238,7410,1857,209.38,1.46,2.24,27.15,paddy
4.38,5.21,8.31,0.28,0.6,43.0,303,4523,758,14.02,5.27,1.72,5.83,paddy
2.13,7.29,8.3,0.41,0.52,28.7,212,3707,852,36.55,2.04,1.16,4.96,paddy
3.64,6.69,8.22,0.44,0.63,24.4,350,5556,845,18.89,1.17,1.26,6.43,paddy
9.56,16.56,7.48,0.34,0.51,38.54,110,4647,1690,20.49,5.66,1.17,50.12,paddy
4.88,19.42,8.68,1.07,0.38,21.76,165,3882,1231,66.03,0.58,1.14,24.06,paddy
3.26,10.92,8.4,0.17,0.27,5.34,96,4325,1162,10.18,0.3,0.6,9.98,paddy
9.76,29.86,6.86,0.3,0.49,52.09,170,4583,1942,22.3,1.08,1.48,94.8,paddy
7.54,11.64,8.18,0.96,0.62,40.95,257,4401,2038,91.93,2.78,2.42,20.66,paddy
4.86,11.28,8.27,0.36,0.3,5.16,88,4588,2132,39.59,0.62,1.88,16.72,paddy
3.14,17.02,8.89,0.42,0.23,3.47,66,3511,827,12.08,0.7,0.78,18.22,paddy
9.86,43.74,7.02,0.39,0.53,18.56,118,4754,2082,25.04,1.0,1.36,65.96,paddy
2.64,10.62,8.31,0.36,0.67,27.0,429,4437,1672,23.96,3.26,1.42,6.26,paddy
8.02,20.39,7.83,1.46,0.46,17.7,148,6317,2081,138.53,0.88,3.27,22.78,paddy
8.21,11.09,7.95,1.16,0.55,15.3,148,7063,2476,135.45,0.82,2.71,26.4,paddy
9.57,26.73,7.23,1.79,0.58,35.8,141,6408,1959,192.97,1.02,2.24,48.27,paddy
8.11,13.64,7.85,0.51,0.51,13.6,136,6768,2215,65.96,0.84,2.3,27.61,paddy
7.06,13.43,8.42,0.93,0.47,26.0,225,4080,2106,102.63,1.11,3.1,25.54,paddy
6.08,13.79,7.75,2.14,0.45,8.1,113,6215,2112,268.8,0.68,3.21,21.86,paddy
9.56,24.66,7.41,0.99,0.55,30.9,181,7619,2277,109.53,0.94,2.44,31.63,paddy
10.09,20.82,7.12,0.87,0.49,25.0,153,7749,2172,117.26,0.89,2.04,43.22,paddy
6.63,24.4,7.94,0.99,0.51,28.5,172,5505,1793,79.99,1.47,2.47,25.33,paddy
7.09,18.11,7.55,1.19,0.42,36.5,160,5347,1622,121.26,1.0,2.09,39.78,paddy
12.35,30.84,7.25,1.06,0.7,45.4,197,6769,2219,121.17,3.56,2.74,54.61,paddy
7.73,14.68,7.6,0.65,0.41,15.1,170,7556,2262,71.07,0.82,2.1,25.26,paddy
10.11,28.89,7.15,1.62,0.57,35.4,140,6775,2099,124.95,1.28,2.43,40.77,paddy
7.83,11.18,8.3,0.62,0.3,29.2,193,5138,2135,66.52,0.83,3.23,35.83,paddy
9.58,19.5,7.65,1.35,0.56,27.9,169,6429,2201,161.42,1.98,2.45,36.91,paddy
7.85,19.62,7.5,0.68,0.52,11.2,140,5236,1808,99.14,0.72,2.3,37.68,paddy
6.2,18.84,7.62,0.62,0.34,9.6,104,6307,1816,60.94,0.59,2.06,27.47,paddy
11.06,31.79,7.48,0.52,0.48,37.6,179,6341,2088,43.17,1.6,2.95,39.92,paddy
1.44,12.49,8.34,0.36,0.37,17.5,193,6126,672,17.47,1.3,0.96,5.02,paddy
1.91,17.11,7.76,0.94,0.6,10.6,215,6898,639,42.35,0.4,1.06,5.89,paddy
1.79,13.31,7.86,0.85,0.57,18.1,210,6247,681,24.81,0.48,1.03,8.3,paddy
1.56,7.92,7.97,0.7,0.4,14.3,161,8348,619,32.74,0.91,0.92,6.16,paddy
1.21,7.83,7.84,0.87,0.74,17.9,119,8527,443,36.29,0.82,0.86,2.84,paddy
2.55,6.91,8.25,0.48,0.56,37.8,146,6292,753,59.09,0.72,1.63,28.0,paddy
1.35,3.24,8.25,4.21,0.22,1.8,190,5670,962,528.1,0.22,4.87,7.59,paddy
1.28,5.7,8.26,0.49,0.48,21.9,240,5322,769,24.79,0.32,1.5,7.89,paddy
1.38,7.23,8.25,0.24,0.42,24.1,245,6652,1246,14.97,0.54,1.12,7.76,paddy
2.32,8.59,8.56,1.18,0.5,20.8,223,5124,1018,270.07,0.73,5.02,19.42,paddy
1.27,6.22,8.05,0.52,0.33,9.3,165,8231,1061,29.27,0.54,0.91,2.4,paddy
2.57,10.42,8.48,0.31,0.54,24.1,212,6050,1066,36.49,0.58,1.94,24.91,paddy
2.81,7.59,8.01,0.53,0.64,31.8,167,6617,1080,46.55,0.84,1.48,25.47,paddy
1.89,8.74,8.02,0.33,0.4,11.8,238,7862,930,18.58,1.87,1.33,11.01,paddy
2.99,5.32,7.91,0.55,0.89,33.7,197,8050,1123,50.77,0.89,1.37,28.88,paddy
1.94,6.95,8.32,0.46,0.56,13.7,171,6738,780,78.95,2.03,1.69,8.35,paddy
2.08,8.71,8.23,0.35,0.44,15.5,197,6578,1248,38.54,0.99,1.0,16.77,paddy
1.39,15.65,8.32,0.21,0.6,8.04,346,3304,628,10.66,0.51,1.32,5.08,paddy
2.2,9.37,8.16,1.62,0.62,22.81,236,2874,1293,115.9,0.68,1.81,27.89,paddy
1.74,11.61,8.55,0.32,0.65,17.44,232,3116,943,25.83,0.4,1.82,26.9,paddy
1.47,18.82,8.25,0.93,0.65,14.25,172,2870,832,50.91,0.43,1.59,11.03,paddy
2.09,14.84,8.78,0.23,0.81,13.67,229,2523,875,9.34,0.52,2.57,24.56,paddy
1.77,20.91,9.44,0.7,0.59,27.52,224,2296,578,41.65,0.51,2.72,18.88,paddy
2.78,21.17,8.7,0.56,0.5,18.4,138,1533,371,21.29,0.44,2.0,29.19,paddy
2.38,15.99,8.35,0.84,0.42,19.57,162,1892,800,29.17,0.78,3.23,25.87,paddy
0.86,9.77,8.15,0.18,0.39,16.88,239,1805,114,4.32,0.55,0.75,3.11,paddy
2.44,24.02,8.46,3.51,0.64,55.18,215,1978,484,290.41,1.19,3.79,33.0,paddy
1.65,19.14,8.1,0.75,0.39,6.26,246,2476,446,27.02,0.63,1.57,4.89,paddy
1.55,28.26,7.81,0.37,0.31,9.17,155,1407,382,18.91,0.5,1.14,7.54,paddy
0.96,13.48,8.55,0.26,0.18,1.66,134,1780,407,4.9,0.22,1.13,6.77,paddy
4.11,26.76,8.1,3.18,0.6,36.6,267,2134,1010,262.68,0.83,5.89,47.91,paddy
1.57,23.06,9.71,1.22,0.28,7.41,178,2164,212,66.51,0.56,3.23,13.27,paddy
1.49,22.86,9.67,1.0,0.29,4.68,157,2240,284,22.08,0.54,2.33,10.01,paddy
1.54,13.84,8.91,0.41,0.46,8.52,341,3112,928,16.25,0.68,2.74,12.64,paddy
3.21,13.49,8.5,0.79,0.73,30.9,236,3465,722,15.23,1.17,2.51,35.89,paddy
1.27,5.83,8.97,0.39,0.42,11.52,326,3147,932,115.53,0.6,2.33,5.65,paddy
1.48,13.01,8.92,0.46,0.41,10.56,322,3081,895,16.06,0.45,2.59,11.95,paddy
1.79,19.57,8.56,0.8,0.5,7.75,152,3164,563,56.5,0.5,2.1,15.02,paddy
1.51,21.13,8.45,1.41,0.55,5.45,185,2741,652,143.76,0.44,2.3,12.42,paddy
1.68,10.96,8.9,0.72,0.5,3.1,175,3044,809,85.9,0.4,2.99,9.63,paddy
1.42,14.08,8.8,0.31,0.25,7.18,162,2522,328,21.16,0.33,1.24,10.25,paddy
0.61,2.52,8.02,27.5,0.29,1.0,97,4400,453,664.03,0.2,2.46,0.98,paddy
1.32,13.85,8.93,0.29,0.29,0.91,125,2863,258,4.91,0.51,1.05,4.43,paddy
0.71,6.22,9.28,0.19,0.2,0.72,122,2938,802,2.85,0.25,0.6,3.2,paddy
1.73,9.45,8.0,0.97,0.48,5.17,75,2034,541,33.21,0.69,2.05,33.74,paddy
2.17,16.18,7.96,0.92,0.55,27.13,112,1880,424,33.47,0.86,1.69,27.24,paddy
1.16,17.45,8.11,0.65,0.51,6.22,118,1872,508,11.76,0.53,1.57,5.3,paddy
1.32,8.99,7.92,1.02,0.47,11.31,80,2408,334,13.71,0.29,1.81,11.78,paddy
1.41,20.3,8.14,0.45,0.78,21.14,143,1605,428,13.66,1.01,1.99,6.27,paddy
1.41,8.62,8.4,0.75,0.25,3.19,92,2415,464,9.6,1.0,1.11,12.28,paddy
1.87,18.17,8.31,0.39,0.43,7.93,137,1826,591,23.21,0.48,2.19,9.64,paddy
1.41,14.48,8.33,0.34,0.32,6.91,121,1602,435,16.5,0.41,1.55,7.76,paddy
1.64,22.28,8.04,0.73,0.92,24.22,241,2547,584,30.38,2.4,1.92,7.43,paddy
0.93,15.8,7.8,0.09,0.27,5.66,91,1140,311,2.33,3.26,0.82,4.76,paddy
1.17,13.45,8.6,0.25,0.34,10.95,68,1552,390,8.19,3.32,1.73,9.38,paddy
2.16,54.47,8.11,1.56,0.98,19.93,616,1884,556,68.37,1.25,3.55,7.99,paddy
2.27,28.43,7.94,1.54,0.86,29.43,181,2006,644,67.87,1.34,3.15,7.55,paddy
2.71,21.15,8.2,1.78,0.57,21.78,198,1892,582,80.13,1.13,2.34,37.56,paddy
2.22,52.82,8.14,1.46,0.91,20.45,509,1763,510,70.82,1.26,4.08,8.09,paddy
2.61,17.89,8.31,1.09,0.52,19.0,232,2262,646,54.93,1.0,2.0,38.44,paddy
2.34,25.28,8.12,1.38,0.7,22.34,234,2367,681,66.58,1.19,2.67,21.41,paddy
2.07,29.47,7.98,1.55,0.8,30.82,173,2531,738,57.06,1.34,2.99,7.84,paddy
2.23,12.95,8.48,0.6,0.37,2.64,109,2788,792,33.45,0.49,1.47,12.18,paddy
1.39,15.7,8.42,0.38,0.66,12.15,163,2451,579,14.11,1.03,2.02,4.63,paddy
1.23,10.64,8.66,0.47,0.23,1.76,79,2140,524,13.69,0.23,1.39,7.54,paddy
1.55,19.35,7.9,0.29,0.28,1.85,79,1186,443,8.21,0.37,0.67,9.38,paddy
2.58,9.3,8.3,0.42,0.66,12.73,135,2929,673,24.27,1.11,1.9,41.76,paddy
0.98,7.28,8.6,0.23,0.3,7.6,85,1742,288,5.47,0.38,1.15,5.38,paddy
0.62,7.69,8.31,0.24,0.17,5.0,70,937,217,10.55,0.24,0.79,2.74,paddy
0.52,9.93,8.35,0.36,0.53,4.6,177,1558,105,15.02,0.43,1.33,3.71,paddy
1.17,5.09,8.55,0.58,0.29,24.47,161,1563,118,11.26,0.6,1.93,35.0,paddy
2.12,10.32,8.25,1.33,0.4,23.14,113,1712,423,23.32,0.75,2.29,37.41,paddy
0.74,13.28,8.1,0.25,0.41,5.95,120,797,138,8.45,0.55,1.06,3.6,paddy
0.98,5.46,8.1,1.22,0.35,12.23,70,1497,310,22.65,0.36,2.12,23.05,paddy
1.09,2.27,7.85,0.47,0.4,25.68,54,869,267,11.48,1.07,0.9,35.78,paddy
1.35,8.15,8.5,1.14,0.4,25.59,93,1704,356,11.46,0.59,1.72,17.61,paddy
0.93,9.65,8.2,1.63,0.37,17.81,94,1703,353,24.91,0.4,1.73,9.54,paddy
1.37,23.29,8.15,0.32,0.28,13.08,177,998,136,9.36,0.7,0.71,4.99,paddy
0.81,17.29,8.01,0.58,0.42,17.33,124,1679,352,7.33,0.47,1.29,3.44,paddy
1.44,6.41,8.21,0.11,0.32,22.37,76,2154,276,2.8,0.54,0.52,4.57,paddy
1.19,15.17,8.34,0.28,0.35,19.86,101,1723,391,7.93,0.55,1.43,11.0,paddy
2.0,12.8,8.5,0.22,0.4,7.07,126,2932,376,10.16,0.41,0.98,9.75,paddy
1.13,19.34,8.25,0.29,0.32,4.09,169,2873,366,5.83,0.36,0.66,4.4,paddy
0.89,13.95,7.5,0.17,0.2,3.38,167,1011,132,7.91,0.28,0.44,3.53,paddy
1.44,11.72,8.76,0.79,0.36,12.13,90,2236,415,12.76,0.68,2.24,5.86,paddy
2.03,7.66,8.52,0.81,0.52,19.65,94,1746,466,25.6,1.01,2.42,41.6,paddy
1.63,16.51,8.06,1.76,0.36,20.05,123,1710,481,37.9,0.65,2.0,22.57,paddy
1.8,8.38,8.46,0.51,0.56,21.81,97,1988,476,8.22,0.87,1.73,28.9,paddy
1.7,11.83,8.4,0.15,0.15,1.97,89,2696,256,2.0,0.31,0.38,4.05,paddy
0.8,8.35,8.75,0.27,0.33,7.16,171,1934,313,10.7,0.44,1.3,5.58,paddy
1.1,22.62,6.05,0.13,0.22,1.6,71,776,173,5.2,0.27,0.3,14.41,paddy
1.61,10.61,8.3,0.15,0.22,1.31,76,2647,176,2.19,0.29,0.36,3.78,paddy
1.18,12.8,8.07,0.12,0.22,1.28,114,2446,233,2.82,0.31,0.35,3.98,paddy
1.39,11.28,7.7,0.36,0.36,32.09,138,990,213,10.44,0.96,0.67,11.39,paddy
0.77,26.46,6.58,0.05,0.23,1.36,93,442,113,3.65,0.24,0.33,8.94,paddy
1.32,13.12,8.46,0.42,0.43,13.75,119,2211,374,9.15,0.48,1.65,8.66,paddy
