Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
1.15,8.9,7.71,0.45,1.42,61.2,568,2168,432,26.66,2.27,0.81,7.94,jonna
1.03,12.4,6.9,0.09,0.48,3.2,65,939,227,6.22,0.87,0.42,14.51,jonna
0.79,12.36,6.73,0.08,0.29,10.6,91,912,136,3.18,0.67,0.33,8.03,jonna
0.9,10.1,7.07,0.14,1.19,34.2,70,910,301,8.5,1.65,0.5,6.76,jonna
1.36,11.05,7.61,0.41,0.42,99.8,191,720,253,14.83,2.93,0.58,8.12,jonna
2.45,7.26,6.35,0.25,0.91,224.6,284,1718,539,39.58,8.41,1.55,28.36,jonna
0.93,10.35,6.87,0.07,0.3,11.2,89,880,146,3.08,0.8,0.41,8.96,jonna
0.95,11.99,7.84,0.27,0.84,140.8,255,740,223,9.33,2.8,0.85,5.12,jonna
0.72,8.42,7.49,0.16,0.57,21.0,43,865,185,9.51,0.61,0.46,5.42,jonna
2.21,8.33,7.64,0.28,0.84,45.0,80,2686,357,23.74,1.47,0.58,15.13,jonna
1.17,12.34,7.3,0.06,0.5,2.6,82,1246,160,3.6,0.61,0.37,5.06,jonna
1.29,12.44,7.05,0.05,0.31,2.6,71,1587,200,3.04,0.5,0.25,7.52,jonna
3.04,6.72,8.24,0.22,0.77,16.2,111,3302,425,14.67,1.01,0.72,22.56,jonna
0.95,4.86,7.72,0.49,1.2,81.4,90,1095,246,26.97,5.18,0.44,4.59,jonna
2.59,16.03,7.76,0.24,1.29,35.6,564,2026,296,12.06,2.78,0.81,32.11,jonna
2.43,10.46,7.62,0.92,0.95,70.2,151,2083,462,144.35,3.89,0.9,13.57,jonna
1.91,17.64,7.64,0.14,0.6,16.0,182,1545,203,7.26,1.56,0.69,8.9,jonna
0.82,10.79,6.59,0.03,0.33,1.0,42,602,91,1.89,0.36,0.17,8.09,jonna
1.74,4.2,7.37,0.12,0.49,20.0,47,1181,218,17.35,4.93,0.33,29.76,jonna
1.76,7.97,7.83,0.16,0.45,33.4,102,1253,345,12.71,1.51,0.62,20.64,jonna
1.92,17.69,7.3,0.43,0.7,6.0,64,1453,387,41.15,2.58,0.71,16.97,jonna
1.61,17.57,7.63,0.18,1.28,38.2,83,1682,566,13.06,4.93,0.61,6.68,jonna
1.74,10.22,6.96,0.16,0.57,54.0,166,687,218,11.59,4.18,0.41,15.29,jonna
1.72,33.92,6.11,0.04,0.5,9.0,57,1070,303,3.67,1.56,0.23,25.11,jonna
1.12,10.95,6.73,0.09,0.34,10.8,45,791,185,10.4,2.08,0.21,11.34,jonna
1.49,15.63,7.07,0.33,0.51,53.4,138,850,231,22.2,5.55,0.67,5.55,jonna
1.43,10.37,7.11,0.5,0.62,36.6,61,1032,237,30.81,8.03,0.47,13.5,jonna
1.06,16.51,5.82,0.09,0.42,14.6,83,728,212,7.51,0.95,0.33,10.81,jonna
0.77,9.75,6.4,0.16,0.34,56.8,40,754,151,7.94,1.55,0.25,6.77,jonna
1.68,10.46,7.27,0.19,0.57,65.2,123,835,216,14.17,9.98,0.48,11.75,jonna
2.45,29.02,6.5,0.07,0.57,14.8,69,1253,229,5.54,1.72,0.36,43.63,jonna
1.28,22.51,6.04,0.08,0.27,2.4,58,1795,614,3.53,1.01,0.19,11.8,jonna
0.91,7.48,7.7,0.19,0.27,5.8,47,677,182,24.57,0.47,0.17,11.57,jonna
1.19,6.63,7.95,0.16,0.3,39.4,55,2758,374,8.31,2.46,0.43,4.94,jonna
0.97,11.97,6.94,0.1,0.2,6.6,35,879,207,13.49,0.86,0.24,14.48,jonna
1.85,11.44,7.52,0.38,0.48,34.0,73,1887,400,38.21,8.7,1.51,17.49,jonna
1.42,3.52,8.1,0.18,0.26,8.6,36,1366,321,16.91,1.06,0.35,9.99,jonna
1.16,3.54,7.65,0.21,0.4,22.2,76,1234,278,14.7,0.8,0.42,10.66,jonna
0.55,6.53,7.9,0.16,0.12,4.0,40,1823,323,17.36,0.34,0.24,3.16,jonna
1.37,14.3,7.22,0.12,0.22,15.2,52,1093,248,6.05,0.59,0.29,16.91,jonna
0.61,7.87,7.7,0.11,0.15,8.6,46,1693,313,6.09,0.35,0.16,6.46,jonna
0.97,19.85,7.34,0.14,0.71,42.2,270,1178,381,7.72,2.72,0.63,9.29,jonna
1.38,22.43,7.12,0.77,0.61,68.2,227,1685,364,64.89,2.55,0.66,9.53,jonna
1.93,12.05,6.38,0.08,0.29,11.0,40,781,156,5.16,1.17,0.16,25.11,jonna
1.63,4.9,7.34,0.15,0.56,52.8,58,954,220,11.99,6.21,0.51,20.0,jonna
1.27,6.63,7.28,0.16,0.47,42.2,128,853,181,23.14,2.66,0.36,8.5,jonna
2.13,17.82,7.14,0.21,0.81,22.4,73,1444,334,18.64,3.01,0.49,60.35,jonna
1.7,11.03,7.41,0.12,0.64,33.4,117,2057,495,7.29,1.67,0.59,24.15,jonna
1.48,10.9,7.86,0.19,0.46,36.4,109,1591,279,11.86,1.88,0.43,6.43,jonna
0.86,8.39,7.64,0.14,0.47,15.0,37,1206,245,11.03,1.78,0.27,10.15,jonna
1.22,8.1,6.76,0.26,0.74,69.4,54,1196,310,29.22,3.81,0.48,26.32,jonna
1.96,10.95,7.65,0.34,0.77,102.0,104,1694,439,27.44,2.89,0.72,42.26,jonna
1.48,5.18,8.08,0.11,0.46,24.6,57,1335,249,9.97,1.41,0.39,10.06,jonna
1.67,14.64,4.99,0.04,0.34,13.2,62,509,128,3.48,1.05,0.31,65.53,jonna
2.13,9.86,7.53,0.16,0.98,9.2,49,1924,555,14.62,1.66,0.76,17.0,jonna
1.4,11.2,7.45,0.06,0.46,4.6,79,1375,485,2.72,1.07,0.36,5.5,jonna
2.13,10.77,7.5,0.56,1.12,22.4,175,2201,512,53.83,1.91,0.72,19.8,jonna
1.64,9.48,8.0,0.15,0.37,5.4,27,1069,291,14.26,0.61,0.15,32.09,jonna
2.36,11.36,7.07,0.11,0.53,9.0,33,1446,228,8.19,1.01,0.16,74.92,jonna
0.96,10.17,7.35,1.05,0.47,48.2,83,2842,457,85.76,2.19,0.36,7.1,jonna
1.47,20.88,7.05,0.12,0.47,16.4,96,1233,251,3.71,2.82,0.22,13.56,jonna
4.06,28.92,7.21,0.78,0.58,37.8,116,2075,509,22.46,3.9,0.39,36.23,jonna
2.9,14.4,7.3,0.25,0.61,28.6,61,1382,435,15.66,2.14,0.39,11.73,jonna
1.07,19.45,7.62,0.13,0.82,47.0,150,1460,375,7.18,3.29,0.93,7.83,jonna
0.76,9.54,7.86,0.57,0.59,19.6,60,1913,460,133.06,2.96,0.39,4.78,jonna
2.4,11.31,7.93,0.2,0.9,20.2,104,2413,521,10.04,1.15,1.13,10.94,jonna
1.76,9.23,8.47,0.13,0.82,46.8,72,2192,472,21.84,1.46,0.92,7.24,jonna
2.72,13.72,6.45,0.41,0.52,17.8,59,1466,395,37.9,1.69,0.41,53.28,jonna
1.53,6.87,7.01,0.09,0.5,9.4,40,1217,270,5.9,0.89,0.29,23.23,jonna
0.89,6.89,6.85,0.31,0.28,17.2,82,929,199,94.25,1.2,0.21,4.35,jonna
2.08,13.97,7.4,0.12,0.62,13.8,75,1654,422,6.42,0.96,0.34,24.53,jonna
2.72,9.77,7.5,0.3,0.45,47.2,150,1296,391,11.77,2.31,0.47,11.19,jonna
1.21,4.35,8.0,0.17,1.16,24.0,108,2181,265,7.5,0.68,0.44,3.62,jonna
2.36,15.32,7.38,0.09,1.02,50.0,126,1370,341,6.03,5.78,0.67,11.38,jonna
1.75,16.41,7.5,0.08,0.49,12.8,41,841,225,8.21,1.37,0.16,7.34,jonna
1.48,7.38,7.5,0.17,0.37,7.8,57,1406,421,22.96,1.13,0.3,4.59,jonna
0.83,17.84,6.02,0.06,0.59,4.0,45,540,132,4.67,0.87,0.17,19.18,jonna
2.37,11.98,6.95,0.34,0.75,31.6,73,1488,373,22.48,1.87,0.53,25.02,jonna
1.35,13.31,7.12,0.06,0.26,4.4,33,947,236,4.68,1.19,0.19,19.11,jonna
1.12,16.41,6.45,0.04,0.31,8.6,70,628,134,2.93,0.99,0.19,14.83,jonna
1.55,19.12,6.22,0.1,0.24,1.4,52,647,154,7.59,0.54,0.19,6.43,jonna
3.05,4.6,7.92,0.17,0.82,18.8,136,2441,538,10.04,1.46,0.71,28.47,jonna
1.31,18.29,6.38,0.05,0.36,21.2,60,723,147,4.7,1.49,0.23,19.35,jonna
1.54,61.84,5.45,0.06,0.32,1.83,105,727,169,4.15,0.57,0.49,16.71,jonna
1.69,32.92,6.95,0.05,0.23,1.23,57,1132,479,2.14,0.47,0.42,13.43,jonna
0.65,5.09,7.02,3.35,0.08,0.74,88,1965,777,33.89,0.55,0.4,5.05,jonna
1.04,87.3,5.13,0.34,0.39,5.93,287,728,168,21.66,0.65,0.61,8.91,jonna
1.06,82.78,5.13,0.37,0.45,5.67,215,542,92,22.37,0.65,0.67,9.52,jonna
3.09,38.82,5.73,0.1,0.7,15.03,129,809,131,19.75,0.93,0.75,97.13,jonna
1.72,5.99,8.0,0.23,0.42,1.35,184,3463,755,9.44,0.68,0.55,9.0,jonna
0.7,17.3,5.92,0.05,0.45,2.72,191,776,127,10.55,0.34,0.36,10.15,jonna
0.5,13.75,5.76,0.08,0.21,2.42,144,407,50,4.93,0.32,0.17,12.84,jonna
0.83,50.55,6.22,0.06,0.29,2.18,116,409,121,5.18,0.63,0.55,18.45,jonna
2.94,33.85,6.12,0.08,0.5,53.89,194,752,130,4.14,2.12,0.29,121.72,jonna
0.95,38.72,6.71,0.06,0.42,1.64,185,680,164,2.37,0.79,0.25,14.51,jonna
4.41,41.0,6.73,0.25,0.83,82.51,267,1451,388,9.06,3.01,0.61,107.38,jonna
2.8,6.07,8.27,0.49,0.6,17.1,304,5734,634,21.65,1.62,1.36,4.53,jonna
6.52,7.34,8.05,0.68,0.78,38.6,535,5400,1077,95.09,1.56,2.23,29.9,jonna
5.65,6.24,7.77,1.13,0.54,8.3,129,6984,1565,199.1,0.62,1.23,16.59,jonna
2.52,5.1,8.15,0.31,0.39,5.9,165,6089,941,18.89,0.54,0.99,4.19,jonna
2.96,6.53,8.1,0.32,0.42,4.7,135,5812,932,17.21,0.68,1.13,3.8,jonna
3.48,4.44,8.11,0.41,0.35,3.6,92,6381,1652,68.03,0.37,1.32,9.88,jonna
3.6,3.11,7.82,1.86,0.36,5.3,72,5811,1485,274.73,0.45,1.15,9.59,jonna
4.22,17.02,7.75,1.84,0.67,18.8,216,6775,933,71.28,1.2,1.45,3.94,jonna
5.84,8.55,7.62,2.25,0.53,14.6,141,6288,1520,233.97,0.73,1.63,13.23,jonna
3.1,5.06,8.31,0.48,0.64,7.9,158,5212,1016,27.98,2.19,1.68,5.84,jonna
2.93,5.7,8.1,0.75,0.55,8.9,170,6394,978,36.0,1.09,1.34,4.2,jonna
5.98,5.98,7.88,0.68,0.48,19.2,156,6631,1582,73.61,0.77,1.65,19.43,jonna
2.39,12.45,8.1,0.5,0.53,37.5,309,4255,1270,31.0,1.52,1.02,6.3,jonna
2.35,9.63,8.21,0.46,0.66,30.9,240,4096,1559,35.57,1.65,1.32,5.28,jonna
1.79,17.19,8.1,0.71,0.68,42.2,319,3397,989,35.19,1.64,1.29,4.54,jonna
3.18,17.84,8.09,0.61,0.93,47.3,359,4863,1408,44.24,3.06,1.54,4.6,jonna
1.88,8.34,8.23,0.55,0.28,7.1,173,4253,855,42.36,0.7,0.6,5.51,jonna
2.68,18.75,8.07,0.83,0.82,41.1,353,4558,1468,52.27,3.91,1.64,4.91,jonna
