Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
1.41,4.38,8.34,0.13,0.24,4.1,119,4770,533,2.96,0.26,0.41,2.78,greengram
0.86,4.93,8.36,0.13,0.34,6.24,108,5093,738,5.13,0.35,0.71,2.27,greengram
0.81,4.26,8.28,0.11,0.36,4.39,115,4560,507,4.12,0.24,0.53,2.82,greengram
1.26,5.98,7.25,0.12,0.22,5.29,166,2052,385,3.37,0.22,0.2,4.86,greengram
0.94,7.06,8.42,0.11,0.37,3.29,63,3266,347,3.76,0.26,0.62,2.0,greengram
0.94,6.64,8.35,0.13,0.31,3.55,52,2771,285,3.87,0.38,0.61,1.68,greengram
