Crop_type
groundnut
groundnut
groundnut
hoesegram
hoesegram
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
hoesegram
groundnut
hoesegram
groundnut
groundnut
groundnut
groundnut
hoesegram
hoesegram
groundnut
hoesegram
groundnut
hoesegram
groundnut
hoesegram
hoesegram
hoesegram
groundnut
groundnut
hoesegram
groundnut
hoesegram
groundnut
groundnut
hoesegram
hoesegram
hoesegram
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
jowar
cotton
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
sunflower
groundnut
paddy
TAMATO
groundnut
groundnut
groundnut
paddy
groundnut
groundnut
groundnut
TAMATO
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
TAMATO
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
Tomato
Tomato
Sweetcorn
Tomato
mulbarry
potato
Tomato
Tomato
Cabage
Tomato
Tomato
groundnut
groundnut
groundnut
potato
Sweetcorn
groundnut
potato
potato
Cabage
paddy
Tomato
groundnut
groundnut
groundnut
Tomato
potato
groundnut
Tomato
Sweetcorn
groundnut
Tomato
potato
Tomato
groundnut
groundnut
potato
groundnut
groundnut
groundnut
Banana
potato
groundnut
potato
mulbarry
potato
groundnut
potato
groundnut
Tomato
groundnut
potato
Sweetcorn
groundnut
groundnut
Tomato
potato
groundnut
groundnut
groundnut
groundnut
Chillies
groundnut
groundnut
Chillies
Tomato
groundnut
groundnut
Tomato
groundnut
jowar
groundnut
groundnut
Tomato
groundnut
groundnut
groundnut
mulbarry
groundnut
Tomato
mulbarry
groundnut
groundnut
groundnut
mulbarry
groundnut
groundnut
groundnut
Tomato
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
Sweetcorn
maize
groundnut
groundnut
groundnut
Mango
groundnut
groundnut
groundnut
groundnut
groundnut
groundnut
Tomato
groundnut
groundnut
groundnut
Flowers
